vote	source
4	https://socel.net/@cutepencilcase/111998139081690159
4	https://hooves.social/notes/9q5gdyn9pd78oast
4	https://equestria.social/@zutcha/112002606709865974
2	https://chillpeep.zone/@ShyLunaArt/112004472847142801
3	https://equestria.social/@ashesmidnight/112007024217409638
4	https://equestria.social/@zutcha/111999201844670858
3	https://equestria.social/@PureBlueHeart/111999513674522540
4	https://socel.net/@cutepencilcase/112009471116715056
3	https://equestria.social/@thatonegib/112009965837714523
2	https://equestria.social/@cushyhoof/112005364260823246
3	https://equestria.social/@zutcha/112012232487780521
2	https://equestria.social/@Lil_VampireCJ/112014854333342721
2	https://chillpeep.zone/@ShyLunaArt/112014791198248652
3	https://equestria.social/@ashesmidnight/112018886307284207
2	https://equestria.social/@shootingstar/112021660261492165
2	https://hooves.social/notes/9qcfh9m1pup8xs3u
3	https://equestria.social/@PureBlueHeart/112021384184241465
3	https://equestria.social/@eve/112017074200498568
