vote	source
1	https://socel.net/@cutepencilcase/111794127188294325
1	https://equestria.social/@yoshter7/111794614505306633
2	https://equestria.social/@ludeka/111794778759514997
2	https://equestria.social/@Juby_Skylines/111795179722186576
1	https://hooves.social/notes/9orhfbnhbyp9eokv
1	https://chillpeep.zone/@ShyLunaArt/111796814475651289
1	https://equestria.social/@StarsongDusk/111795991453128793
1	https://pone.social/@Maretian/111797907209574288
1	https://equestria.social/@thatonegib/111701023484711695
1	https://equestria.social/@Limit/111800546326186755
2	https://equestria.social/@belkasempai/111805809901168328
1	https://equestria.social/@yoshter7/111802172421718581
0	https://equestria.social/@AterHut/111801732385410561
2	https://equestria.social/@StarCastEclipse/111802492572049451
2	https://equestria.social/@memprices/111808316867855476
1	https://mastodon.ml/@Ekaterina/111810384404879117
2	https://equestria.social/@AterHut/111811815438805851
1	https://equestria.social/@Felis/111812150557566718
1	https://pony.social/@MeloviByrd/111807939713187750
2	https://equestria.social/@Juby_Skylines/111812693377198082
1	https://octodon.social/@MelodiSmol/111816113922163748
3	https://hooves.social/notes/9owvho4qgi0zxip2
3	https://equestria.social/@StarsongDusk/111821161074360427
3	https://equestria.social/@moncatto/111821214780212342
2	https://socel.net/@cutepencilcase/111822440188025869
1	https://equestria.social/@jellysketch/111822087531643085
4	https://equestria.social/@zutcha/111822380528301226
