vote	source
3	https://equestria.social/@Juby_Skylines/111951226235988549
3	https://equestria.social/@GnashieArts/111938171222946390
3	https://equestria.social/@StarsongDusk/111948606321713880
3	https://mastodon.art/@yarugreat/111923242706628829
2	https://equestria.social/@ludeka/111915669127568085
2	https://equestria.social/@Juby_Skylines/111927483116288667
2	https://equestria.social/@jellysketch/111942253452143049
2	https://equestria.social/@zutcha/111916631686709225
2	https://pone.social/@algoatall/111882941317963608
2	https://equestria.social/@rhythmpixel/111932215375415052
2	https://equestria.social/@zutcha/111916353731080280
2	https://mastodon.art/@typhwosion/111925680530818714
2	https://equestria.social/@Tidenloria/111950938711039904
1	https://mastodon.art/@yarugreat/111924584244061085
1	https://mastodon.art/@AlexDTI/111936389568942190
1	https://equestria.social/@PankoPai/111935402885869402
1	https://equestria.social/@eve/111920636963701512
1	https://hooves.social/notes/9pk19et8z11r5btz
1	https://equestria.social/@eve/111924479027998852
