vote	source
4	https://equestria.social/@ludeka/111760743998328255
3	https://equestria.social/@ludeka/111760985119143998
2	https://equestria.social/@StarCastEclipse/111762563620604835
1	https://equestria.social/@cobaltskies002/111766621694340281
2	https://equestria.social/@nukear/111762384834616769
2	https://equestria.social/@belkasempai/111756478512795059
4	https://equestria.social/@PetalTwinkle/111775143044084000
3	https://equestria.social/@nebularobo/111754871261374022
2	https://equestria.social/@Dasha_Moone/111777273195399271
3	https://equestria.social/@memprices/111778445912525656
3	https://equestria.social/@cushyhoof/111778561699724365
4	https://mastodon.gamedev.place/@roxy/111778845239630679
3	https://equestria.social/@eve/111784055741536132
4	https://equestria.social/@Zeepheru/111784187605585170
3	https://equestria.social/@GnashieArts/111786314720978431
4	https://equestria.social/@ludeka/111762652851400154
3	https://equestria.social/@belkasempai/111762426822241204
0	https://octodon.social/@MelodiSmol/111787109900702867
3	https://equestria.social/@Dasha_Moone/111787605497906223
3	https://hooves.social/notes/9opnqdgoj13u8kbj
3	https://equestria.social/@zutcha/111787900588725593
4	https://equestria.social/@joaothejohndraws/111680549255711669
3	https://hooves.social/notes/9opqs87pe438bnxe
0	https://hooves.social/notes/9oogzju5fnccknmw
1	https://equestria.social/@Limit/111786013779622542
1	https://mastodon.online/@amynewblue/111790954103551827
1	https://equestria.social/@onevioletrose/111790380545200716
